Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Dicanio, D; Spoto, G; Alibrandi, A; Minutoli, R; Nicotera, AG; Di Rosa, G",,,,"Dicanio, Daniela; Spoto, Giulia; Alibrandi, Angela; Minutoli, Roberta; Nicotera, Antonio Gennaro; Di Rosa, Gabriella",,,Long-term predictivity of early neurological assessment and developmental trajectories in low-risk preterm infants,FRONTIERS IN NEUROLOGY,,,,,,,,,,,,"Prematurity represents 10.6% of all births, and although preterm infants usually show adequate neurodevelopmental outcomes, some may develop significant and long-lasting neurological sequelae. Many studies have analyzed predictive factors for developing severe neurodevelopmental impairments (cerebral palsy, other motor and socio-relational disorders such as autism). In this study, 148 preterm infants were enrolled to investigate the neurodevelopmental trajectories in a population of low-risk premature infants using standardized assessment methods. Significant correlations were found between the general movements, the Hammersmith Infant Neurological Examination, and the Griffiths Mental and Development Scales. Moreover, this study showed their validity and predictivity for adverse neurodevelopmental outcomes even in low-risk infants.",,,,,,,,,,,,,,,,,,,1664-2295,,,,,SEP 27,2022,13.0,,,,,,,,958682,10.3389/fneur.2022.958682,0,,,,,,,,36237623.0000,,,,,WOS:000873738700001,0.0
J,"Aragon-Gawinska, K; Seferian, AM; Daron, A; Gargaun, E; Vuillerot, C; Cances, C; Ropars, J; Chouchane, M; Cuppen, I; Hughes, I; Illingworth, M; Marini-Bettolo, C; Rambaud, J; Taytard, J; Annoussamy, M; Scoto, M; Gidaro, T; Servais, L",,,,"Aragon-Gawinska, Karolina; Seferian, Andreea M.; Daron, Aurore; Gargaun, Elena; Vuillerot, Carole; Cances, Claude; Ropars, Juliette; Chouchane, Mondher; Cuppen, Inge; Hughes, Imelda; Illingworth, Marjorie; Marini-Bettolo, Chiara; Rambaud, Jerome; Taytard, Jessica; Annoussamy, Melanie; Scoto, Mariacristina; Gidaro, Teresa; Servais, Laurent",,,Nusinersen in patients older than 7 months with spinal muscular atrophy type 1 A cohort study,NEUROLOGY,,,,,,,,,,,,"Objective To evaluate the safety and clinical efficacy of nusinersen in patients older than 7 months with spinal muscular atrophy type 1 (SMA1). Methods Patients with SMA1 were treated with nusinersen by intrathecal injections as a part of the Expanded Access Program (EAP; NCT02865109). We evaluated patients before treatment initiation (M0) and at 2 months (M2) and 6 months (M6) after treatment initiation. Survival, respiratory, and nutritional data were collected. Motor function was assessed with the modified Hammersmith Infant Neurologic Examination Part 2 (HINE-2) and physiotherapist scales adjusted to patient age (Children's Hospital of Philadelphia Infant Test of Neuromuscular Disorders and the Motor Function Measure 20 or 32). Results We treated 33 children ranging in age from 8.3 to 113.1 months between December 2016 and May 2017. All patients were alive and were continuing treatment at M6. Median progress on the modified HINE-2 score was 1.5 points after 6 months of treatment (p < 0.001). The need for respiratory support significantly increased over time. There were no statistically significant differences between patients presenting with 2 and those presenting with 3 copies of the survival motor neuron 2 (SMN2) gene. Conclusions Our results are in line with the phase 3 study for nusinersen in patients with SMA1 treated before 7 months of age and indicate that patients benefit from nusinersen even at a later stage of the disease. ClinicalTrials.gov identifier: NCT02865109. Classification of evidence This study provides Class IV evidence that for patients with SMA1 who are older than 7 months, nusinersen is beneficial.",,,,,"Servais, Laurent/AAL-7384-2020; Taytard, Jessica/AAE-8169-2021","Taytard, Jessica/0000-0002-7552-3880; Servais, Laurent/0000-0001-9270-4061",,,,,,,,,,,,,0028-3878,1526-632X,,,,OCT 2,2018,91.0,14,,,,,E1312,E1318,,10.1212/WNL.0000000000006281,0,,,,,,,,30158155.0000,,,,,WOS:000452498100005,0.0
J,"Yang, H; Tao, QJ; Li, D; Yang, J; Cai, QY; Gan, J; Huang, SP; Luo, R",,,,"Yang, Hua; Tao, Qiuji; Li, Dan; Yang, Jie; Cai, Qianyun; Gan, Jing; Huang, Shaoping; Luo, Rong",,,Assessment of motor function and nutritional status in children with spinal muscular atrophy treated with nusinersen after loading period in Western China: a retrospective study,BMC NEUROLOGY,,,,,,,,,,,,"BackgroundSpinal muscular atrophy (SMA) is a progressive degenerative neuromuscular disease. Nusinersen, with its quick onset of action, can benefit patients early in the treatment course. However, there are currently no clinical studies regarding the improvement in motor function and nutritional status of patients after loading period treatment with nusinersen. Here, we aimed to determine the efficacy of nusinersen in improving motor function and nutritional status in children with SMA treated with nusinersen after loading period in Western China.MethodsIn this retrospective study, data for all pediatric patients (aged < 18 years), with genetically confirmed diagnosis of SMA who were treated with nusinersen, were collected before initiation of treatment and after 2 months of treatment. We assessed motor function using standardized scales and nutritional status of patients with SMA as well as side effects of nusinersen.ResultsForty-six pediatric patients aged < 18 years were enrolled in this study. After 2 months of treatment, the motor function of patients with SMA type 1, 2, and 3 improved. The difference in Revised Upper Limb Module scores from M0 to M2 was significant in patients with SMA type 2 and 3 (P = 0.004, P = 0.042, respectively). The difference in Hammersmith Functional Motor Scale Expanded scores from M0 to M2 in patients with SMA type 2 was also significant (P = 0.000). No significant differences were found for Children's Hospital of Philadelphia Infant Test of Neuromuscular Disorder (CHOP-INTEND), Hammersmith Infant Neurologic Examination-Part 2 (HINE-2), and 6-Minute Walking Test (6MWT) scores between M0 and M2, but the scores of CHOP-INTEND, HINE-2, and 6MWT were all increased after loading period treatment. The overall improvement in nutritional status was not statistically significant. No serious adverse effects were observed.ConclusionsOur study provides evidence for the efficacy and safety of nusinersen and the nutritional status of pediatric patients with SMA after the loading period treatment. Motor function of all patients improved after 2 months of loading period nusinersen treatment. Patients with a shorter disease duration showed better response to treatment. Careful surveillance of nutritional status is needed in patients with SMA.",,,,,,,,,,,,,,,,,,,,1471-2377,,,,JAN 23,2023,23.0,1,,,,,,,35,10.1186/s12883-023-03063-3,0,,,,,,,,36690929.0000,,,,,WOS:000917648000001,0.0
J,"Akiyama, M; Murayama, S; Yokoi, K; Yanagisawa, T; Hattori, Y; Yamashiro, Y; Eto, Y; Fujisawa, K",,,,"Akiyama, Masaharu; Murayama, Shizuko; Yokoi, Kentaro; Yanagisawa, Takaki; Hattori, Yukio; Yamashiro, Yasuhiro; Eto, Yoshikatsu; Fujisawa, Kohji",,,Hemoglobin Hammersmith [beta 42(CD1) Phe -> Ser] causing severe hemolytic anemia in a Japanese girl,PEDIATRIC BLOOD & CANCER,,,,,,,,,,,,"Hemoglobin Hammersmith, a rare, unstable hemoglobin variant, was diagnosed in a 9-year-old Japanese girl. She presented with the typical manifestations of this disorder, including neonatal hyperbilirubinemia, followed by progressive hepatosplenomegaly, jaundice, and bilirubinuria. Because of severe hemolytic anemia, she received transfusions of red blood cells every 3 to 4 weeks. However, she underwent splenectomy at the age of 4 years and has continued to be in partial remission without requiring further transfusions. DNA sequence analysis of the polymerase chain reaction-amplified beta-globin gene revealed a point mutation (T -> C) in the second nucleotide of the 42nd codon of the beta-globin chain (beta 42(CD1) Phe -> Ser).",,,,,,,,,,,,,,,,,,,1545-5009,,,,,NOV,2006,47.0,6,,,,,839,841,,10.1002/pbc.20533,0,,,,,,,,16078214.0000,,,,,WOS:000241004200016,0.0
J,"te Velde, A; Tantsis, E; Novak, I; Badawi, N; Berry, J; Golland, P; Korkalainen, J; McMurdo, R; Shehata, R; Morgan, C",,,,"te Velde, Anna; Tantsis, Esther; Novak, Iona; Badawi, Nadia; Berry, Jane; Golland, Prue; Korkalainen, Johanna; McMurdo, Robyn; Shehata, Ronda; Morgan, Catherine",,,"Age of Diagnosis, Fidelity and Acceptability of an Early Diagnosis Clinic for Cerebral Palsy: A Single Site Implementation Study",BRAIN SCIENCES,,,,,,,,,,,,"Cerebral palsy (CP) diagnosis is historically late, at between 12 and 24 months. We aimed to determine diagnosis age, fidelity to recommended tests and acceptability to parents and referrers of an early diagnosis clinic to implement a recent evidence-based clinical guideline for the early diagnosis of CP. A prospective observational case series of infants <12 months with detectable risks for CP attending our clinic was completed with data analysed cross-sectionally. Infants had a high risk of CP diagnosis at a mean age of 4.4 (standard deviation [SD] 2.3) months and CP diagnosis at 8.5 [4.1] months. Of the 109 infants seen, 57% had a diagnosis of CP or high risk of CP, showing high specificity to our inclusion criteria. Parent and referrer acceptability of the clinic was high. Paediatricians had the highest rate of referral (39%) followed by allied health (31%), primary carer (14%) and other health workers (16%). Fidelity to the guideline was also high. All infants referred <5 mths had the General Movements Assessment (GMA) and all except one had the Hammersmith Infant Neurological Examination (HINE) administered. n = 92 (84%) of infants seen had neuroimaging, including n = 53 (49%) who had magnetic resonance imaging (MRI), showing recommended tests are feasible. Referral to CP-specific interventions was at 4.7 [3.0] months, sometimes before referral to clinic. Clinicians can be confident CP can be diagnosed well under 12 months using recommended tools. This clinic model is acceptable to parents and referrers and supports access to CP-specific early interventions when they are likely to be most effective.",,,,,"Novak, Iona E/B-3061-2014","Novak, Iona E/0000-0001-6001-4867",,,,,,,,,,,,,,2076-3425,,,,AUG,2021,11.0,8,,,,,,,1074,10.3390/brainsci11081074,0,,,,,,,,34439692.0000,,,,,WOS:000689039900001,0.0
J,"Guadagno, C; Cavallin, F; Brasili, L; Maziku, DM; Leluko, DE; Azzimonti, G; Putoto, G; Pietravalle, A; Trevisanuto, D",,,,"Guadagno, Chiara; Cavallin, Francesco; Brasili, Luca; Maziku, Donald Micah; Leluko, Dionis Erasto; Azzimonti, Gaetano; Putoto, Giovanni; Pietravalle, Andrea; Trevisanuto, Daniele",,,Relationship between Admission Temperature and Risk of Cerebral Palsy in Infants Admitted to Special Care Unit in a Low Resource Setting: A Retrospective Single-Center Study,CHILDREN-BASEL,,,,,,,,,,,,"Background: Deviations from normothermia affect early mortality and morbidity, but the impact on neurodevelopment of the survivors is unclear. We aimed to investigate the relationship between neonatal temperature at admission and the risk of cerebral palsy (CP) at one month of age in a low-resource setting. Methods: This retrospective study included all inborn neonates admitted to the Special Care Unit of Tosamaganga Hospital (Tanzania) between 1 January 2019 and 31 December 2020. The neurological examination at one month of age was performed using the Hammersmith method. The relationship between the admission temperature and the risk of CP was investigated using logistic regression models, with temperature modeled as the non-linear term. Results: High/moderate risk of CP was found in 40/119 (33.6%) of the neonates at one month of age. A non-linear relationship between the admission temperature and moderate/high risk of CP at one month of age was found. The lowest probability of moderate/high risk of CP was estimated at admission temperatures of between 35 and 36 degrees C, with increasing probability when departing from such temperatures. Conclusions: In a low-resource setting, we found a U-shaped relationship between the admission temperature and the risk of CP at one month of life. Expanding the analysis of the follow-up data to 12-24 months of age would be desirable in order to confirm and strengthen such findings.",,,,,,"Putoto, Giovanni/0000-0003-0256-1744; Trevisanuto, Danieel/0000-0002-6462-0079",,,,,,,,,,,,,,2227-9067,,,,MAR,2022,9.0,3,,,,,,,352,10.3390/children9030352,0,,,,,,,,35327724.0000,,,,,WOS:000776973600001,0.0
J,"Dogra, DP; Badri, V; Majumdar, AK; Sural, S; Mukherjee, J; Mukherjee, S; Singh, A",,,,"Dogra, Debi Prosad; Badri, Vishal; Majumdar, Arun Kumar; Sural, Shamik; Mukherjee, Jayanta; Mukherjee, Suchandra; Singh, Arun",,,Video analysis of Hammersmith lateral tilting examination using Kalman filter guided multi-path tracking,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,,,,,,,,,,,,"Video object tracking plays an important role in many computer vision-aided applications. This paper presents a novel multi-path analysis-based video object tracking algorithm. Trajectory of the moving object is refined using a Kalman filter-based prediction method. The proposed algorithm has been used successfully to analyze one of the complex infant neurological examinations often referred to as Hammersmith lateral tilting test. This is an important test of the infant neurological assessment process, and this test is difficult to grade by visual observation. It has been shown in this paper that the proposed video object tracking algorithm can be used to analyze the videos of fast moving objects by incorporating application-specific information. For example, the proposed tracking algorithm can be used to assess lateral tilting test of the Hammersmith infant neurological examinations. The algorithm has been tested with several video recordings of this test which were captured at the neurodevelopment clinic of the SSKM Hospital, Kolkata, India during the period of the study. It is found that the proposed algorithm is capable of estimating the score for the test with high values of sensitivity and specificity.",,,,,,,,,,,,,,,,,,,0140-0118,1741-0444,,,,SEP,2014,52.0,9,,,,,759,772,,10.1007/s11517-014-1178-2,0,,,,,,,,25096789.0000,,,,,WOS:000340683800005,0.0
J,"de Carvalho, AL; Ventura, P; Taguchi, T; Brandi, I; Brites, C; Lucena, R",,,,"de Carvalho, Alessandra Lemos; Ventura, Paloma; Taguchi, Tania; Brandi, Ivar; Brites, Carlos; Lucena, Rita",,,Cerebral Palsy in Children With Congenital Zika Syndrome: A 2-Year Neurodevelopmental Follow-up,JOURNAL OF CHILD NEUROLOGY,,,,,,,,,,,,"Objective: To describe the 2-year neurodevelopmental outcome in children with cerebral palsy associated with congenital Zika (CZ) and explore variables associated with a more severe presentation. Methods: Data on 69 children with cerebral palsy associated with CZ, followed in a neurorehabilitation hospital, who consecutively attended the neurodevelopmental assessment at 2 years of age, were collected. Bayley III Scales of Infant and Toddler Development, Hammersmith Infant Neurological Examination, and Gross Motor Function Classification System were used for the outcome evaluation. Descriptive and inferential statistical analysis were performed. Results: The median age at follow-up was of 24.0 (23-32) months. Only 3 (4.3%) children were not microcephalic. The majority presented with bilateral (94.2%), spastic (100.0%), Gross Motor Function Classification System grade IV or V (92.8%) cerebral palsy, epilepsy (73.1%), extremely low performances on cognitive (94.2%), language (95.7%), and motor (95.7%) Bayley-III Scales of Infant and Toddler Development Test scores. The median Hammersmith Infant Neurological Examination score was of 21.0 (range 9-75). There was a correlation between birth head circumference with the cognitive (r = 0.3, P < .01), language (r = 0.3, and motor (r = 0.3, P < .01) Bayley-III Scales of Infant and Toddler Development Test scores, as well as with the Hammersmith Infant Neurological Examination score (r = 0.2, P < .03). An association was observed between an inferior median Hammersmith Infant Neurological Examination score with congenital microcephaly (P = .04), arthrogryposis (P = .02), and epilepsy in the first year (P < .01). Conclusion: Cerebral palsy related to CZ presents with a severe global impairment at a 2-year follow-up. Birth head circumference, arthrogryposis, and early epilepsy are associated with a worse outcome and may be considered as prognostic markers. These findings are important for the neurorehabilitation planning, parents' guiding, and future prognostic studies.",,,,,"de Lima, Antonio Marcos Oliveira/AAT-2148-2021; Lucena, Rita/L-9842-2013","Lucena, Rita/0000-0002-6190-9168",,,,,,,,,,,,,0883-0738,1708-8283,,,,MAR,2020,35.0,3,,,,,202,207,8.83074E+14,10.1177/0883073819885724,0,,NOV 2019,,,,,,31718421.0000,,,,,WOS:000497623200001,0.0
J,"Yuan, WH; Tamm, L; Harpster, K; Altaye, M; Illapani, VSP; Parikh, NA",,,,"Yuan, Weihong; Tamm, Leanne; Harpster, Karen; Altaye, Mekibib; Illapani, Venkata Sita Priyanka; Parikh, Nehal A.",,,Effects of intraventricular hemorrhage on white matter microstructural changes at term and early developmental outcomes in infants born very preterm,NEURORADIOLOGY,,,,,,,,,,,,"Purpose Very preterm (VPT) infants are at high risk for motor and behavioral deficits. We investigated microstructural differences using diffusion tensor imaging (DTI) among VPT infants with different grades of intraventricular hemorrhage (IVH), their association with early motor function and temperament ratings, and the potential moderating effect of IVH severity on the above structure-function relations. Methods Fifty-seven VPT (<= 32 weeks gestational age) infants with IVH (Low Grade (Papile grading I/II): 42; High Grade (III/IV): 15) were studied. DTI was acquired between 39 and 44 weeks postmenstrual age and was analyzed using the tract-based spatial statistics approach. Early motor function and temperament were assessed at 3-month corrected age based on the Hammersmith Infant Neurological Examination (HINE) and Infant Behavioral Questionnaire - Revised, Short Version (IBQ-R-S), respectively. Results Significantly lower fractional anisotropy and higher mean, axial, and/or radial diffusivity were found in VPT infants with High Grade IVH compared to Low Grade IVH (p < 0.05). Significant associations were found between DTI metrics and motor function in both IVH groups and between DTI and Fear temperament ratings in the High Grade IVH Group (all p < 0.05). IVH severity had a significant moderating effect on the relation between DTI and motor and Fear ratings (p < 0.05). Conclusion DTI is a sensitive neuroimaging biomarker providing a refined understanding of the impact and location of differing severities of IVH on the developing white matter of VPT infants. Early motor and behavioral outcomes are associated with microstructural changes that are influenced by severity of IVH.",,,,,"Parikh, Nehal/AAB-9981-2022","Harpster, Karen/0000-0003-1677-6367; Parikh, Nehal/0000-0002-1375-1247",,,,,,,,,,,,,0028-3940,1432-1920,,,,SEP,2021,63.0,9,,,,,1549,1561,,10.1007/s00234-021-02708-9,0,,APR 2021,,,,,,33830309.0000,,,,,WOS:000638032600001,0.0
J,"Romeo, DMM; Cioni, M; Guzzetta, A; Scoto, M; Conversano, M; Palermo, F; Romeo, MG; Mercuri, E",,,,"Romeo, D. M. M.; Cioni, M.; Guzzetta, A.; Scoto, M.; Conversano, M.; Palermo, F.; Romeo, M. G.; Mercuri, E.",,,Application of a scorable neurological examination to near-term infants: Longitudinal data,NEUROPEDIATRICS,,,,,,,,,,,,"The aim of this study was to follow the evolution of neurological findings in a cohort of near-term infants born between 35 and 37 weeks. A total of 448 infants born between 35 and 36.9 weeks gestational age with normal cranial ultrasonograms or only minor abnormalities, were studied using the Hammersmith Infant Neurological Examination, at 6, 9 and 12 months (corrected for prematurity). Our results showed that while some items such as cranial nerve and movements showed minimal changes over time, other items mainly related to tone, posture and reflexes showed progressive maturation. There was no significant difference between the infants born at 35 and 36 weeks gestation. When compared to term infants assessed at the same age intervals, our cohort showed a wider variability of scores. Mean and loth percentile for global scores were lower than those reported for term infants suggesting that when assessing infants born at 35 and 36 weeks the optimality scores used for infants born full-term should not be used as normative data. Our results, providing longitudinal data in near-term infants without brain lesions, can be used as a reference in both clinical and research setting to monitor early neurological signs in those children.",,,,,"Romeo, Domenico M/K-7957-2016; Guzzetta, Andrea/F-1503-2010; Romeo, Domenico/AFM-6244-2022","Romeo, Domenico M/0000-0002-6229-1208; Guzzetta, Andrea/0000-0003-3868-0059; CIONI, Matteo/0000-0002-7594-6939",,,,,,,,,,,,,0174-304X,,,,,OCT,2007,38.0,5,,,,,233,238,,10.1055/s-2007-1004520,0,,,,,,,,18330837.0000,,,,,WOS:000254580800003,0.0
J,"Boardman, JP; Ganesan, V; Rutherford, MA; Saunders, DE; Mercuri, E; Cowan, F",,,,"Boardman, JP; Ganesan, V; Rutherford, MA; Saunders, DE; Mercuri, E; Cowan, F",,,Magnetic resonance image correlates of hemiparesis after neonatal and childhood middle cerebral artery stroke,PEDIATRICS,,,,,,,,,,,,"Objective. Motor impairment after neonatal and childhood-onset ischemic stroke (IS) is common, although the prevalence and type of hemiparesis differs between the 2 age groups. Lesion topography is an important predictor of hemiparesis after neonatal IS, but it is not known if the same topographic predictors of adverse motor outcome apply to childhood-onset IS. We used a consistent approach to define lesion topography and evaluate motor outcome in both age groups to (1) investigate whether early topographic predictors of hemiparesis after unilateral middle cerebral artery-territory stroke are the same in neonates and older children and (2) compare the prevalence of dystonia and loss of independent finger movements between the 2 age groups. Design. Twenty-eight patients with neonatal-onset IS (Hammersmith Hospital, London, United Kingdom) were studied together with 43 patients with childhood-onset IS (Great Ormond Street Hospital, United Kingdom). All patients had exclusive unilateral middle cerebral artery-territory IS. Lesion topography was studied by using the first magnetic resonance image acquired after the onset of symptoms and was coded for involvement of cerebral cortex (CC), posterior limb of the internal capsule (PLIC), basal ganglia (BG), and white matter. The primary outcome was hemiparesis, and secondary outcomes were dystonia and loss of age-appropriate independent finger movements. Results. Hemiparesis was more common after childhood-onset IS (56%) than neonatal-onset IS (24%). In neonatal-onset IS, concomitant involvement of BG, CC, and PLIC predicts the development of hemiparesis (odds ratio: 99; 95% confidence interval: 5.2-1883.8), and no child with 1 or 2 of these structures involved developed hemiparesis. In contrast, in childhood-onset IS, concomitant BG, and PLIC lesions tended to be associated with hemiparesis (9 of 11), but this adverse outcome was seen also among patients with 1- or 2-site involvement. However, hemiparesis was less likely if the infarction involved BG only (odds ratio: 0.162; 95% confidence interval: 0.036-0.729). Dystonia was present in 15 of 24 in the childhood-onset group with hemiparesis but was not seen after neonatal-onset IS. In both age groups upper-limb impairment was more severe than lower-limb impairment, with frequent loss of independent hand function among hemiparetic patients. Conclusions. In neonatal and childhood-onset IS, early magnetic resonance imaging provides useful prognostic information about subsequent motor outcome. There are differences in the functional response of the neuromotor system to injury between the 2 age groups that cannot be attributed to methodological differences alone.",,,,,"Boardman, James/K-5472-2015","Boardman, James/0000-0003-3904-8960",,,,,,,,,,,,,0031-4005,1098-4275,,,,FEB,2005,115.0,2,,,,,321,326,,10.1542/peds.2004-0427,0,,,,,,,,15687439.0000,,,,,WOS:000226725000028,0.0
J,"Darras, BT; Masson, R; Mazurkiewicz-Beldzinska, M; Rose, K; Xiong, H; Zanoteli, E; Baranello, G; Bruno, C; Vlodavets, D; Wang, Y; El-Khairi, M; Gerber, M; Gorni, K; Khwaja, O; Kletzl, H; Scalco, RS; Fontoura, P; Servais, L",,,,"Darras, Basil T.; Masson, Riccardo; Mazurkiewicz-Beldzinska, Maria; Rose, Kristy; Xiong, Hui; Zanoteli, Edmar; Baranello, Giovanni; Bruno, Claudio; Vlodavets, Dmitry; Wang, Yi; El-Khairi, Muna; Gerber, Marianne; Gorni, Ksenija; Khwaja, Omar; Kletzl, Heidemarie; Scalco, Renata S.; Fontoura, Paulo; Servais, Laurent",,FIREFISH Working Grp,Risdiplam-Treated Infants with Type 1 Spinal Muscular Atrophy versus Historical Controls,NEW ENGLAND JOURNAL OF MEDICINE,,,,,,,,,,,,"Background Type 1 spinal muscular atrophy (SMA) is a progressive neuromuscular disease characterized by an onset at 6 months of age or younger, an inability to sit without support, and deficient levels of survival of motor neuron (SMN) protein. Risdiplam is an orally administered small molecule that modifies SMN2 pre-messenger RNA splicing and increases levels of functional SMN protein in blood. Methods We conducted an open-label study of risdiplam in infants with type 1 SMA who were 1 to 7 months of age at enrollment. Part 1 of the study (published previously) determined the dose to be used in part 2 (reported here), which assessed the efficacy and safety of daily risdiplam as compared with no treatment in historical controls. The primary end point was the ability to sit without support for at least 5 seconds after 12 months of treatment. Key secondary end points were a score of 40 or higher on the Children's Hospital of Philadelphia Infant Test of Neuromuscular Disorders (CHOP-INTEND; range, 0 to 64, with higher scores indicating better motor function), an increase of at least 4 points from baseline in the CHOP-INTEND score, a motor-milestone response as measured by Section 2 of the Hammersmith Infant Neurological Examination (HINE-2), and survival without permanent ventilation. For the secondary end points, comparisons were made with the upper boundary of 90% confidence intervals for natural-history data from 40 infants with type 1 SMA. Results A total of 41 infants were enrolled. After 12 months of treatment, 12 infants (29%) were able to sit without support for at least 5 seconds, a milestone not attained in this disorder. The percentages of infants in whom the key secondary end points were met as compared with the upper boundary of confidence intervals from historical controls were 56% as compared with 17% for a CHOP-INTEND score of 40 or higher, 90% as compared with 17% for an increase of at least 4 points from baseline in the CHOP-INTEND score, 78% as compared with 12% for a HINE-2 motor-milestone response, and 85% as compared with 42% for survival without permanent ventilation (P<0.001 for all comparisons). The most common serious adverse events were pneumonia, bronchiolitis, hypotonia, and respiratory failure. Conclusions In this study involving infants with type 1 SMA, risdiplam resulted in higher percentages of infants who met motor milestones and who showed improvements in motor function than the percentages observed in historical cohorts. Longer and larger trials are required to determine the long-term safety and efficacy of risdiplam in infants with type 1 SMA. (Funded by F. Hoffmann-La Roche; FIREFISH ClinicalTrials.gov number, .) Small-Molecule SMN2 Modifier in Type 1 SMA The pre-mRNA SMN2 splicing modifier risdiplam was administered orally to 41 infants with type 1 spinal muscular atrophy. After 12 months of treatment, 12 infants were able to sit without support, and most had better scores on motor-performance scales than the upper limit of confidence intervals from historical controls.",,,,,"Coratti, Giorgia/Y-6292-2019; Masson, Riccardo/AAB-8896-2019; de Oliveira A, Juliana Caires/AAC-9229-2019; Coratti, Giorgia/AAV-3224-2021; Sposetti, Lorenza/ABA-4660-2021; Gorni, Ksenija/HCH-8475-2022; Pera, Maria Carmela/J-6068-2018","Coratti, Giorgia/0000-0001-6666-5628; Masson, Riccardo/0000-0002-9311-452X; de Oliveira A, Juliana Caires/0000-0002-9249-2318; Coratti, Giorgia/0000-0001-6666-5628; Sposetti, Lorenza/0000-0001-9521-6426; D'AMICO, GUGLIELMO/0000-0003-3758-7397; Baranello, Giovanni/0000-0003-4871-6692; boespflug-tanguy, odile/0000-0003-2389-1232; Duong, Tina/0000-0003-3177-4722; Vlodavets, Dmitry/0000-0003-2635-2752; Pera, Maria Carmela/0000-0001-6777-1721; Milascevic, Darko/0000-0003-4034-8434; Gugleta, Konstantin/0000-0002-3520-2791; Klein, Andrea/0000-0003-2733-5911",,,,,,,,,,,,,0028-4793,1533-4406,,,,JUL 29,2021,385.0,5,,,,,427,435,,10.1056/NEJMoa2102047,0,,,,,,,,34320287.0000,,,,,WOS:000684497600011,0.0
J,"Fadilah, A; Clare, Q; Hart, AR",,,,"Fadilah, Ala; Clare, Quentin; Hart, Anthony Richard",,,Attitudes towards the neurological examination in an unwell neonate: a mixed methods approach,BMC PEDIATRICS,,,,,,,,,,,,"Background The neurological examination of an unwell neonate can aid management, such as deciding if hypothermia treatment is warranted in hypoxic ischaemic encephalopathy or directing investigations in hypotonic neonates. Current standardised examinations are not designed for unwell or ventilated neonates, and it is unclear how confident paediatricians feel about the examination or what aspects they perform. Aim This study aimed to review the confidence of UK paediatricians on the neurological examination in unwell neonates, describe their attitudes towards it, and determine what could improve practice. Methods An explanatory sequential mixed methods approach (QUAN -> QUAL) with equal weighting between stages. A survey on attitudes to the neonatal neurological examination was sent to all UK neonatal units and members of the British Paediatric Neurology Association. Volunteers were sought for semi-structured interviews. Thematic analysis was used to interpret qualitative data, which was triangulated with quantitative questionnaire data. Results One hundred ninety-three surveys were returned, 31.0% from neonatologists, 9.3% paediatric neurologist. The median range for confidence was 4 (IQR3-5). Twenty-three interviews occurred. Thematic analysis revealed three themes: Current culture on neonatal units, Practicalities of the neurological examination in unwell neonates, and Changing the culture. Most interviewees did not feel confident performing or interpreting the neurological examination in unwell neonates. Many units had a culture of seeing it as low priority, did not see its relevance in the acute management of unwell neonates. A few interviewees worked in units with a positive culture towards the neurological examination who used adapted standardised examinations and provided training. 72% of questionnaire responders wanted a new standardised neurological examination designed for the unwell neonate, which should be short, utilise pictures like the Hammersmith Neonatal Neurological Examination, contain an assessment of consciousness, be developmentally appropriate and achievable in unwell, ventilated neonates, be accompanied by a schematic to aid interpretation, and for greater training and assessments of competence. Conclusions There are barriers preventing paediatricians being able to perform a neurological examination in unwell neonates, and a culture of neurophobia is common. A new standardised examination is needed, alongside aids to interpretation, training, and assessment.",,,,,,"Hart, Anthony/0000-0003-4018-3238",,,,,,,,,,,,,,1471-2431,,,,SEP 23,2022,22.0,1,,,,,,,562,10.1186/s12887-022-03616-4,0,,,,,,,,36151513.0000,,,,,WOS:000859924300001,0.0
